id,sleep_target,sleep_value,steps,calories_target,calories_value,createdAt,updatedAt,intensity,min_heart_rate,max_heart_rate,user/id,user/email,user/full_name,user/disable_survey
139,480,537,29384.0,2048.0,2766.0,2023-06-10 00:00:02.499000+00:00,2023-06-10 23:45:04.118000+00:00,188.0,,,,,,
140,480,460,15355.0,2048.0,2016.0,2023-06-11 00:00:00.600000+00:00,2023-06-11 23:45:00.638000+00:00,89.0,,,,,,
141,480,460,15355.0,2048.0,2016.0,2023-06-11 00:00:01.309000+00:00,2023-06-11 23:45:01.574000+00:00,89.0,,,,,,
142,480,460,15355.0,2048.0,2016.0,2023-06-11 00:00:01.808000+00:00,2023-06-11 23:45:02.181000+00:00,89.0,,,,,,
143,480,460,15355.0,2048.0,2016.0,2023-06-11 00:00:02.285000+00:00,2023-06-11 23:45:02.891000+00:00,89.0,,,,,,
144,480,404,7619.0,2048.0,1674.0,2023-06-12 00:00:00.632000+00:00,2023-06-12 23:45:00.765000+00:00,28.0,,,,,,
145,480,404,7619.0,2048.0,1674.0,2023-06-12 00:00:01.361000+00:00,2023-06-12 23:45:01.807000+00:00,28.0,,,,,,
146,480,404,7619.0,2048.0,1674.0,2023-06-12 00:00:01.890000+00:00,2023-06-12 23:45:02.561000+00:00,28.0,,,,,,
147,480,404,7619.0,2048.0,1674.0,2023-06-12 00:00:02.388000+00:00,2023-06-12 23:45:03.357000+00:00,28.0,,,,,,
148,480,,,2048.0,1170.0,2023-06-13 00:00:00.536000+00:00,2023-06-13 23:45:00.506000+00:00,,,,,,,
149,480,,,2048.0,1170.0,2023-06-13 00:00:01.214000+00:00,2023-06-13 23:45:01.208000+00:00,,,,,,,
150,480,,,2048.0,1170.0,2023-06-13 00:00:01.882000+00:00,2023-06-13 23:45:01.773000+00:00,,,,,,,
151,480,,,2048.0,1170.0,2023-06-13 00:00:02.362000+00:00,2023-06-13 23:45:02.417000+00:00,,,,,,,
152,480,,,2048.0,1169.0,2023-06-14 00:00:00.530000+00:00,2023-06-14 23:45:00.492000+00:00,,,,,,,
153,480,,,2048.0,1169.0,2023-06-14 00:00:01.218000+00:00,2023-06-14 23:45:01.228000+00:00,,,,,,,
154,480,,,2048.0,1169.0,2023-06-14 00:00:01.666000+00:00,2023-06-14 23:45:01.766000+00:00,,,,,,,
155,480,,,2048.0,1169.0,2023-06-14 00:00:02.148000+00:00,2023-06-14 23:45:02.282000+00:00,,,,,,,
