ActivityHour,Id,Calories,TotalIntensity,AverageIntensity,StepTotal,hour,dayofyear,dayofweek,dayofmonth,isweekend
2016-03-17 01:00:00+00:00,2347167796,60,2,0.033333,26,1,77,3,17,False
2016-03-17 02:00:00+00:00,2347167796,57,0,0.0,0,2,77,3,17,False
2016-03-17 03:00:00+00:00,2347167796,57,0,0.0,0,3,77,3,17,False
2016-03-17 04:00:00+00:00,2347167796,57,0,0.0,0,4,77,3,17,False
2016-03-17 05:00:00+00:00,2347167796,57,0,0.0,0,5,77,3,17,False
2016-03-17 06:00:00+00:00,2347167796,57,0,0.0,0,6,77,3,17,False
2016-03-17 07:00:00+00:00,2347167796,74,9,0.15,128,7,77,3,17,False
2016-03-17 08:00:00+00:00,2347167796,133,31,0.516667,1142,8,77,3,17,False
2016-03-17 09:00:00+00:00,2347167796,76,11,0.183333,104,9,77,3,17,False
2016-03-17 10:00:00+00:00,2347167796,81,16,0.266667,144,10,77,3,17,False
2016-03-17 11:00:00+00:00,2347167796,72,9,0.15,85,11,77,3,17,False
2016-03-17 12:00:00+00:00,2347167796,88,14,0.233333,412,12,77,3,17,False
2016-03-17 13:00:00+00:00,2347167796,106,23,0.383333,683,13,77,3,17,False
2016-03-17 14:00:00+00:00,2347167796,103,28,0.466667,428,14,77,3,17,False
2016-03-17 15:00:00+00:00,2347167796,83,14,0.233333,255,15,77,3,17,False
2016-03-17 16:00:00+00:00,2347167796,82,15,0.25,203,16,77,3,17,False
2016-03-17 17:00:00+00:00,2347167796,94,21,0.35,373,17,77,3,17,False
2016-03-17 18:00:00+00:00,2347167796,159,39,0.65,1821,18,77,3,17,False
2016-03-17 19:00:00+00:00,2347167796,211,73,1.216667,2515,19,77,3,17,False
2016-03-17 20:00:00+00:00,2347167796,73,7,0.116667,141,20,77,3,17,False
2016-03-17 21:00:00+00:00,2347167796,101,20,0.333333,679,21,77,3,17,False
2016-03-17 22:00:00+00:00,2347167796,108,17,0.283333,952,22,77,3,17,False
2016-03-17 23:00:00+00:00,2347167796,57,0,0.0,0,23,77,3,17,False
2016-03-18 00:00:00+00:00,2347167796,60,2,0.033333,15,0,78,4,18,False
2016-03-18 01:00:00+00:00,2347167796,57,0,0.0,0,1,78,4,18,False
2016-03-18 02:00:00+00:00,2347167796,57,0,0.0,0,2,78,4,18,False
2016-03-18 03:00:00+00:00,2347167796,60,2,0.033333,10,3,78,4,18,False
2016-03-18 04:00:00+00:00,2347167796,57,0,0.0,0,4,78,4,18,False
2016-03-18 05:00:00+00:00,2347167796,57,0,0.0,0,5,78,4,18,False
2016-03-18 06:00:00+00:00,2347167796,57,0,0.0,0,6,78,4,18,False
2016-03-18 07:00:00+00:00,2347167796,60,2,0.033333,15,7,78,4,18,False
2016-03-18 08:00:00+00:00,2347167796,76,11,0.183333,131,8,78,4,18,False
2016-03-18 09:00:00+00:00,2347167796,120,25,0.416667,1009,9,78,4,18,False
2016-03-18 10:00:00+00:00,2347167796,66,5,0.083333,62,10,78,4,18,False
2016-03-18 11:00:00+00:00,2347167796,89,16,0.266667,441,11,78,4,18,False
2016-03-18 12:00:00+00:00,2347167796,104,20,0.333333,757,12,78,4,18,False
2016-03-18 13:00:00+00:00,2347167796,77,12,0.2,158,13,78,4,18,False
2016-03-18 14:00:00+00:00,2347167796,77,11,0.183333,236,14,78,4,18,False
2016-03-18 15:00:00+00:00,2347167796,67,7,0.116667,65,15,78,4,18,False
2016-03-18 16:00:00+00:00,2347167796,75,13,0.216667,100,16,78,4,18,False
2016-03-18 17:00:00+00:00,2347167796,86,14,0.233333,361,17,78,4,18,False
2016-03-18 18:00:00+00:00,2347167796,111,17,0.283333,1040,18,78,4,18,False
2016-03-18 19:00:00+00:00,2347167796,69,8,0.133333,108,19,78,4,18,False
2016-03-18 20:00:00+00:00,2347167796,62,3,0.05,67,20,78,4,18,False
